444 | 2026-03-11 19:26:04,379 | uber | INFO | Thread-4 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,728 | uber | INFO | MainThread | Database connection established
444 | 2026-03-11 19:26:04,380 | uber | INFO | Thread-3 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,493 | uber | INFO | Thread-1 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,692 | uber | INFO | Thread-2 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,780 | uber | INFO | Thread-6 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,780 | uber | INFO | Thread-5 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,782 | uber | INFO | Thread-9 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,813 | uber | INFO | Thread-8 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,814 | uber | INFO | Thread-10 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,829 | uber | INFO | Thread-7 (fun1) | Database connection established
552 | 2026-03-11 19:26:04,998 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:05,000 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:05,001 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:05,002 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:05,003 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:05,255 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:05,294 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:05,449 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:05,485 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:04,656 | uber | INFO | MainThread | Database connection established
444 | 2026-03-11 19:26:05,673 | uber | INFO | Thread-4 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,670 | uber | INFO | Thread-11 (fun1) | Database connection established
444 | 2026-03-11 19:26:04,678 | uber | INFO | Thread-12 (fun1) | Database connection established
540 | 2026-03-11 19:26:05,720 | uber | INFO | MainThread | Starting batch processing total_records=1000
552 | 2026-03-11 19:26:05,731 | uber | INFO | MainThread | Completed batch processing threads=2
635 | 2026-03-11 19:26:05,732 | uber | INFO | MainThread | Child batches executed count=2
540 | 2026-03-11 19:26:04,774 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:05,786 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:05,836 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:05,841 | uber | INFO | Thread-3 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,212 | uber | INFO | Thread-1 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,343 | uber | INFO | Thread-6 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,329 | uber | INFO | Thread-8 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,419 | uber | INFO | Thread-1 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,342 | uber | INFO | Thread-5 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,342 | uber | INFO | Thread-7 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,294 | uber | INFO | Thread-2 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,404 | uber | INFO | Thread-9 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,448 | uber | INFO | Thread-10 (fun1) | Database connection established
552 | 2026-03-11 19:26:06,584 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:06,585 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:06,586 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:06,587 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:06,587 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:06,971 | uber | INFO | MainThread | Database connection established
444 | 2026-03-11 19:26:06,994 | uber | INFO | Thread-4 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,994 | uber | INFO | Thread-2 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,995 | uber | INFO | Thread-3 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,996 | uber | INFO | Thread-7 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,059 | uber | INFO | Thread-9 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,060 | uber | INFO | Thread-8 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,071 | uber | INFO | Thread-6 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,073 | uber | INFO | Thread-5 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,075 | uber | INFO | Thread-10 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,169 | uber | INFO | MainThread | Database connection established
552 | 2026-03-11 19:26:07,213 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:07,214 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:07,215 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:07,215 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:07,216 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:06,228 | uber | INFO | Thread-1 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,230 | uber | INFO | Thread-2 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,293 | uber | INFO | Thread-4 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,482 | uber | INFO | Thread-5 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,483 | uber | INFO | Thread-3 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,483 | uber | INFO | Thread-6 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,484 | uber | INFO | Thread-7 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,690 | uber | INFO | Thread-8 (fun1) | Database connection established
